TIME_PERIOD,0.25 Y,0.5 Y,1 Y,2 Y,3 Y,5 Y,7 Y,10 Y,20 Y,30 Y
2004-09-06,2.00166453155179,2.1025278843090747,2.297177455845652,2.655493572001728,2.971161362179352,3.4837320579439615,3.8653202252153815,4.262767322619998,4.853753794889722,5.056951195894825
2004-09-07,2.0090886030913024,2.1185269346302498,2.325057870657437,2.6927931224447805,3.007337008410408,3.5072318598478254,3.875766935686193,4.26066676103177,4.843470910015371,5.048498937078718
2004-09-08,2.0146127195933627,2.129000343236525,2.3431897837815585,2.7197515260874217,3.037740557413792,3.537116730067986,3.901783098735889,4.280396753520563,4.8498835960032425,5.048762939447303
2004-09-09,2.010833137778715,2.1123363860039417,2.3061933109660555,2.657901047471514,2.9642554499330336,3.458997893365712,3.8280461695023367,4.2157349887486735,4.803332286613539,5.008323101665853
2004-09-10,2.0062813293527224,2.0952459336438167,2.2702570537577,2.601720276932586,2.9014599515292088,3.3994404897263357,3.7770042210789097,4.175095275424142,4.773952044818765,4.979773131968461
2004-09-13,2.010257794093947,2.11081622077135,2.3023808262819228,2.648866516765416,2.950251089411734,3.437785117806357,3.8034002118381713,4.190623270463905,4.78703669377432,4.998306916203704
2004-09-14,2.0116327631362982,2.1074363537501006,2.2920340481013755,2.6317065256902747,2.931780633720429,3.42289035830678,3.7932484186277824,4.1849095809716275,4.780775838091081,4.987727022494132
2004-09-15,2.0155634631476844,2.1110931977284304,2.295142490927753,2.633767705957802,2.9329082124280683,3.4225188318857804,3.791769527614764,4.182229073075899,4.77582102858196,4.981614449402112
2004-09-16,2.0217473705025397,2.1191613781375147,2.305801348619046,2.646353798765022,2.9449675138986766,3.4309384347608303,3.7962896525954455,4.182468745629011,4.7708026021816865,4.975332108129296
2004-09-17,2.0213310389777406,2.109490909407944,2.2816074618657485,2.6049302666080933,2.8964792670359416,3.3832882956860693,3.7570979540625857,4.158153751422427,4.781514314140553,5.003228844034156
2004-09-20,2.0182401924799507,2.1073596378542803,2.280711929798648,2.6044535073990955,2.8946157150122382,3.375889855882201,3.742732173613331,4.133185077066721,4.729902263639994,4.937126276187597
2004-09-21,2.0235241510866904,2.113843889845032,2.28895456838818,2.6144287445558656,2.9049553010397973,3.3854024895251422,3.751047510592509,4.14016243352598,4.735374883280056,4.942263642882781
2004-09-22,2.026927508238121,2.1163896580063453,2.2896874025931235,2.6114181557630536,2.8983636303055267,3.3727484127106684,3.733893909815742,4.118520449337277,4.707743757858758,4.912731735762077
2004-09-23,2.0223005943089825,2.0957893976934887,2.244478350189592,2.537945080580207,2.813537760879066,3.2870852781379916,3.6558291420167546,4.050969587058711,4.651127824467821,4.855562195066437
2004-09-24,2.033869472600546,2.118050323284787,2.2825412827155294,2.592179686315781,2.8722001975497324,3.341424475334636,3.7027562630807966,4.090420504329362,4.686729571929701,4.8929276333162015
2004-09-27,2.0322914377813053,2.1117398337649327,2.2687630888210584,2.569382190031007,2.8454097204213,3.3136352345334266,3.6768643369638916,4.066982732567494,4.661739246228968,4.863442113589401
2004-09-28,2.0322010996229016,2.1103872520949998,2.265435568811879,2.5637630594411944,2.838954714213347,3.3076827545486034,3.672481897939402,4.065094657832283,4.664843751711341,4.868543348257584
2004-09-29,2.0362930367551537,2.1215435048017883,2.287571202080788,2.598839559421867,2.879682545732975,3.3503335953271103,3.713522460596819,4.104134165542783,4.705002294194681,4.9110093832100254
2004-09-30,2.0247964464689923,2.113202280203587,2.2840690932660843,2.600918583474837,2.884229339678645,3.356525639308932,3.7210094557425295,4.115248751938302,4.732668133620703,4.949837958643055
2004-10-01,2.0342563580941593,2.1144422912603105,2.2737786151559343,2.581362993614392,2.8660191319070965,3.352226078007185,3.7310891626856297,4.1381126033076185,4.752529147347941,4.955839350384808
2004-10-04,2.030036735183636,2.1176113347434478,2.2888769250689385,2.6116981359225444,2.903937057259621,3.3933937230800555,3.768824705919732,4.167805801683227,4.761483770490764,4.954348331363351
2004-10-05,2.029769552960424,2.1131496024920233,2.276910375307283,2.5878109466837937,2.871485861224739,3.350953594736421,3.7224348242915095,4.121224629133308,4.725786244739074,4.927158510798533
2004-10-06,2.036291882921232,2.116999346439523,2.2768374955063844,2.5838297906859387,2.8665488804915635,3.3470665971451474,3.7196294048737717,4.117858629585626,4.712432457011683,4.905667068893151
2004-10-07,2.0350853076502937,2.11528100024536,2.2745795193281557,2.581843467225577,2.8658563409142057,3.3499620174046965,3.7259852484001663,4.1281717400278195,4.728471021175912,4.9233606962223275
2004-10-08,2.0215186043003683,2.088858116243011,2.2287483085170563,2.5149652570479613,2.791924616008358,3.278954713750317,3.6633464818358332,4.075576307861187,4.685971457997353,4.881232883537762
2004-10-11,2.027655982753394,2.0935194656930687,2.2313194495064823,2.5157910230019103,2.7929261969225165,3.2826229029635114,3.670325650252438,4.086838311580854,4.7050549270129,4.9035454377709735
2004-10-12,2.0204822043056447,2.0801623950024446,2.208086678949005,2.480038240314243,2.750695356640973,3.236032899975965,3.62376925930542,4.0422185027256985,4.666447703076017,4.868302967266279
2004-10-13,2.0262432430290667,2.0891925680962773,2.2220880837684254,2.499500395933724,2.7719850832429893,3.2562080756027787,3.6408959557554037,4.054827062823954,4.670036930415303,4.867880443561505
2004-10-14,2.0245240729717686,2.081814031922587,2.206247354099689,2.47461101287548,2.7440516385371985,3.229155924558785,3.6168728005970983,4.0345978741604815,4.655620819329599,4.855830672452939
2004-10-15,2.0256304812538333,2.0730733123190093,2.1842933970705443,2.4427729761558488,2.7131724006711604,3.208122424551516,3.603710009067147,4.026246766920017,4.64456413685238,4.841056116635547
2004-10-18,2.026838423554012,2.0746707503738366,2.185999773343692,2.44339929942668,2.7124729439331827,3.206481119508981,3.603559514153624,4.0307017384566315,4.664624459801372,4.870154976489403
2004-10-19,2.031680663735908,2.0811043497493418,2.195558766813476,2.4584244952371823,2.731526786592983,3.229703076886952,3.6276370884673192,4.0535374582804025,4.681641505404707,4.883990849050292
2004-10-20,2.0367035172803893,2.07532768843396,2.173812029145829,2.4196207364828464,2.6863437856618315,3.1831526003921513,3.5831519110174126,4.012028532020948,4.647417873918863,4.854610687100021
2004-10-21,2.038140941670429,2.0794525924051532,2.1813897484029257,2.42923487361928,2.6948323687221434,3.187109465164383,3.583195146110804,4.008443714688708,4.639969115787448,4.846298586350637
